Date,Date New,Fault_Block,Fault_Block Filter,Reservoir Name,Well Name,Year,geo_latitude,geo_longitude,geo_Well Name,Number of Records,Oil Cumulative kbbl ,Oil Cut,Oil Rate bbl/d ,Water Cumulative kbbl ,Water Cut,Water Rate bbl/d 
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,92,2004,0.575793982,9.209652685,92,1,13,0.99,464,0.09,0.01,3
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,3.074113152,6.878906021,93,1,15,0.89,509,1.86,0.11,64
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,5.991963176,2.547676107,93,1,15,0.89,509,1.86,0.11,64
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,5.552904264,8.483934588,94,1,25,0.99,865,0.21,0.01,7
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,7.162924908,11.19455439,94,1,25,0.99,865,0.21,0.01,7
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,2.872006476,11.50798328,18,1,24,1,812,0.07,0,2
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,3.583850195,6.318003512,18,1,24,1,812,0.07,0,2
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,7.958543251,4.219703484,18,1,24,1,812,0.07,0,2
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,67,2004,4.160101269,9.289919335,67,1,10,0.98,359,0.17,0.02,6
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,67,2004,4.417454817,1.560976811,67,1,10,0.98,359,0.17,0.02,6
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,76,2004,3.352950177,9.016241387,76,1,12,0.71,428,5.02,0.29,173
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,78,2004,0.498548843,9.495843778,78,1,6,0.85,205,1.04,0.15,36
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,78,2004,6.373574586,10.68802043,78,1,6,0.85,205,1.04,0.15,36
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,98,2004,5.761728159,1.482329261,98,1,3,1,118,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,111,2004,4.768637615,10.21866077,111,1,17,1,577,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,117,2004,1.460519809,8.156243326,117,1,23,1,809,0,0,0
