id;site;unidade;vida;igv_abertura;bov_fechada;pre_sistema;pre_descarga;pre_oleo;vibracao_1;vibracao_2;vibracao_3;corrente_motor;consumo_motor;temp_oleo;temp_entrada;temp_reserva;temp_espira;temp_mancal_de;temp_mancal_nde;hs_trabalhadas;hs_carga;pre_setpoint;pre_unloadsp;pre_reloadsp;status_ligado;carga_alivio;pronto;alarme;trip;aux_oil_pump_trip;vibration_1_high_alarm;press_oil_l;vibration_2_high_alarm;vibration_3_high_alarm;motor_current_l;oil_supply_temp_high;estag_3_inlet_temp_high;oil_reservoir_temp_l;timestamp
1;teste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.953.125;16.757.813;5.703.125;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.937.500;16.609.375;5.718.750;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.968.750;16.304.688;5.687.500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.875.000;16.445.313;5.710.938;349.563;198.55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8.023.438;16.578.125;5.703.125;351.188;199.47;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.781.250;16.507.813;5.734.375;351.813;199.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.562.500;16.507.813;5.742.188;349.438;198.48;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.679.688;16.476.563;5.742.188;348.875;198.16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.609.375;16.226.563;5.710.938;349.313;198.41;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.578.125;16.429.688;5.726.563;349.938;198.76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16/04/2025 14:03
